LAT,LON,PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
39.91011,116.38421,T2M_MIN,1981,-10.96,-7.32,-1.03,7.12,13.04,18.74,22.19,19.32,14.28,4.15,-3.71,-7.83,5.73
39.91011,116.38421,T2M_MIN,1982,-10.21,-5.14,-1.43,6.64,13.25,17.15,19.31,20.18,12.73,8.1,-0.81,-7.71,6.06
39.91011,116.38421,T2M_MIN,1983,-9.16,-8.75,-1.39,5.49,13.28,18.79,21.07,19.7,15.1,6.65,-0.62,-6.18,6.25
39.91011,116.38421,T2M_MIN,1984,-11.52,-9.25,-3.61,4.23,12.44,18.27,20.82,19.99,13.12,6.06,-0.77,-8.76,5.12
39.91011,116.38421,T2M_MIN,1985,-11,-7.47,-3.67,5.1,12.88,17.02,19.79,19.86,12.24,6.86,-2.65,-9.67,5.01
39.91011,116.38421,T2M_MIN,1986,-10.57,-8.4,-1.46,4.46,12.81,17.91,19.34,18.45,12.53,4.85,-2.96,-7.5,5.03
39.91011,116.38421,T2M_MIN,1987,-9.83,-6.44,-3.28,4.26,11.72,16.03,19.8,19.19,13.99,6.58,-2.78,-6.91,5.26
39.91011,116.38421,T2M_MIN,1988,-9.85,-7.97,-3.37,4.61,12.48,17.9,20.67,19.78,14.53,6.96,-0.93,-6.17,5.76
39.91011,116.38421,T2M_MIN,1989,-8.1,-4.29,-1.06,6.9,12.65,17.56,20.17,19.65,13.05,6.45,-1.61,-5.68,6.36
39.91011,116.38421,T2M_MIN,1990,-11.3,-5.09,0.06,4.83,12.17,17.02,21.37,20.08,14.12,8.09,0.16,-6.29,6.33
39.91011,116.38421,T2M_MIN,1991,-8.89,-6.01,-2.62,5.32,11.85,17.32,20.38,21.18,14.38,6.38,-2.27,-7.56,5.85
39.91011,116.38421,T2M_MIN,1992,-8.06,-6.13,-1.56,5.47,12.77,16.57,20.87,18.88,13.16,5.05,-3.3,-6.81,5.61
39.91011,116.38421,T2M_MIN,1993,-10.77,-4.77,-1,4.06,12.31,17.76,19.85,19.01,13.87,6.03,-2.76,-8.69,5.46
39.91011,116.38421,T2M_MIN,1994,-8.96,-5.06,-2.82,7.43,12.38,20.07,22.4,20.3,12.28,5.93,-0.38,-7.36,6.41
39.91011,116.38421,T2M_MIN,1995,-9.58,-4.84,-1.95,4.21,10.49,17.63,19.97,19.68,12.21,6.29,-1.04,-7.86,5.49
39.91011,116.38421,T2M_MIN,1996,-10.72,-8.48,-2.67,3.51,12.6,18.27,20.14,19.2,13.58,4.79,-2.74,-6.83,5.09
39.91011,116.38421,T2M_MIN,1997,-11.39,-6.24,-0.9,5.32,12.17,17.38,22.6,20.76,12.27,5.35,-0.37,-7.36,5.87
39.91011,116.38421,T2M_MIN,1998,-10.73,-4.35,0.15,8.46,12.51,17.56,21.37,19.88,15.92,8.09,-1.85,-6.22,6.79
39.91011,116.38421,T2M_MIN,1999,-8.36,-4.13,-2.65,6.39,13.36,18.99,22.91,20.12,15.64,5.82,-0.82,-6.4,6.79
39.91011,116.38421,T2M_MIN,2000,-11.76,-7.96,-1.08,5.05,13.03,20.22,23,21.08,14.81,5.44,-3.06,-6.79,6.04
39.91011,116.38421,T2M_MIN,2001,-11.6,-7.13,-1.71,5.67,14.39,20.28,21.3,20.02,14.7,7.62,-1.18,-9.45,6.14
39.91011,116.38421,T2M_MIN,2002,-6.4,-2.73,0.36,5.46,14.45,18.29,21.61,19.86,13.9,3.43,-3.68,-8.24,6.41
39.91011,116.38421,T2M_MIN,2003,-9.97,-5.25,-0.96,6.29,13.9,17.56,20.69,19.64,14.77,5.36,-2.54,-7.67,6.04
39.91011,116.38421,T2M_MIN,2004,-9.47,-5.14,-1.6,7.02,12.08,18.51,20.21,18.6,13.74,6.6,-0.69,-6.16,6.16
39.91011,116.38421,T2M_MIN,2005,-10.01,-9.97,-2.73,6.34,11.36,18.27,22.22,20.32,15.13,7.08,-0.12,-9.32,5.8
39.91011,116.38421,T2M_MIN,2006,-7.69,-7.16,-1.73,4.21,13.05,18.86,20.95,20.95,14.74,9.21,-0.55,-7.21,6.55
39.91011,116.38421,T2M_MIN,2007,-8.55,-2.96,-2.42,5.67,13.89,19.51,21.21,20.13,15.3,6.23,-1.34,-5.52,6.81
39.91011,116.38421,T2M_MIN,2008,-9.89,-7.49,-0.41,7.33,11.39,17.37,21.64,20.43,14.35,7.08,-1.15,-7.76,6.11
39.91011,116.38421,T2M_MIN,2009,-9.69,-4.61,-1.81,6.82,13.89,17.98,21.23,19.37,14.9,7.14,-3.92,-8.8,6.1
39.91011,116.38421,T2M_MIN,2010,-11.79,-7.73,-3,2.13,12.99,17.93,22.77,19.91,14.02,5.8,-1.47,-8.02,5.37
39.91011,116.38421,T2M_MIN,2011,-12.47,-6.16,-2.32,4.74,11.36,18.77,21.2,20.04,12.79,6.73,0.38,-8.02,5.64
39.91011,116.38421,T2M_MIN,2012,-10.74,-8.99,-2,6.01,13.57,18.26,21.61,19.54,13.72,6.26,-2.34,-10.61,5.4
