LON,PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
77.24201,T2M_MAX,1981,22.66,27.1,31.27,40.62,43.75,45.29,33.38,34.36,37.52,34.77,27.32,23.73,33.49
77.24201,T2M_MAX,1982,22.52,23.65,28.84,35.88,36.03,41.4,38.89,32.44,35.54,34.5,29.37,24.55,32
77.24201,T2M_MAX,1983,22.24,24.66,31.04,33.9,40.09,42.51,38.91,33.52,33.7,33.17,28.68,24.06,32.24
77.24201,T2M_MAX,1984,22.53,24.92,35.44,39.4,45.5,43.97,38.25,36.04,30.95,32.54,28.54,24.97,33.61
77.24201,T2M_MAX,1985,22.93,28.59,35.81,39.26,43.97,42.99,36.04,33.07,33.46,29.88,28.09,23.95,33.18
77.24201,T2M_MAX,1986,22.1,23.78,31.35,39.02,42.17,43.22,38.22,37.51,37.89,34.39,30.91,23.74,33.73
77.24201,T2M_MAX,1987,23.74,27.5,33.24,39.47,39.06,44.28,43.81,41.11,39.19,36.22,31.51,25.6,35.42
77.24201,T2M_MAX,1988,25.45,28.39,32.28,41.38,45.8,44.06,35.57,32.31,32.9,31.53,28.62,24.47,33.56
77.24201,T2M_MAX,1989,21.6,25.19,31.64,38.49,43.59,43.21,40.08,37.72,35.86,35.75,30.38,24.45,34.04
77.24201,T2M_MAX,1990,26.37,25.03,30.02,38.58,42.63,43.95,36.93,33.18,31.96,31.25,28.87,24.07,32.77
77.24201,T2M_MAX,1991,23.26,27.06,33.38,38.39,43.87,42.8,41.52,35.62,32.67,32.25,27.6,23.98,33.57
77.24201,T2M_MAX,1992,23.36,25.22,31.79,37.87,42.21,44.73,38.78,34.82,34.22,34.07,28.62,26.18,33.5
77.24201,T2M_MAX,1993,23.91,29.32,30.74,38.88,44.35,43.12,35.33,36.49,32.91,34.32,30.47,26.46,33.87
77.24201,T2M_MAX,1994,24.69,26.19,35.54,37.38,44.22,43.74,35.63,31.88,31.93,32.85,29.6,25.53,33.3
77.24201,T2M_MAX,1995,21.83,26.44,30.94,37.61,43.51,44.48,40.22,32.64,31.94,32.17,28.96,24.79,32.98
77.24201,T2M_MAX,1996,23.68,27.06,33.41,39.88,42.46,41.35,37.24,32.16,32.11,30.92,28.7,24.87,32.82
77.24201,T2M_MAX,1997,22.84,27.5,31.8,36.43,40.29,40.17,39.25,35.4,35.87,31.32,27.5,21.04,32.46
77.24201,T2M_MAX,1998,21.74,24.75,29.88,39.29,44.05,41.42,36.45,34.55,33.31,30.62,28.07,24.85,32.45
77.24201,T2M_MAX,1999,22.05,27.16,34.57,42,43.54,42.62,39.99,38.21,36.59,34.95,31.27,25.88,34.93
77.24201,T2M_MAX,2000,24.12,24.37,32.14,41.54,43.84,40.53,36.05,35.76,37.62,36.5,30.76,26.27,34.14
77.24201,T2M_MAX,2001,23.23,28.19,33.46,38.42,42.64,39.5,36.57,35.8,37.99,35.97,30.94,25.53,34.04
77.24201,T2M_MAX,2002,22.31,26.07,33.94,40.98,44.7,42.85,43.91,37.25,33.49,34.01,29.57,25.24,34.57
77.24201,T2M_MAX,2003,22.25,25.55,32.37,40.35,42.57,43.11,33.41,32.34,32.1,31.55,27.47,23.27,32.21
77.24201,T2M_MAX,2004,21.15,27.53,36.44,40.5,41.96,41.21,40.11,33.6,36.4,32.05,28.93,24.6,33.71
77.24201,T2M_MAX,2005,22.04,24.89,32.55,38.05,41.8,43.94,35.3,37.24,33.46,32.18,28.71,23.51,32.84
77.24201,T2M_MAX,2006,24.06,32.06,31.75,39.78,43.02,40.63,36.15,33.83,34.66,34.86,29.38,24.62,33.72
77.24201,T2M_MAX,2007,24.19,25.07,30.59,40.52,42.1,41.99,37.29,33.58,34.74,34.14,29.44,24.26,33.19
77.24201,T2M_MAX,2008,22.7,26.31,36,38.15,39.82,36.92,34.95,31.63,32.02,31.78,28.21,25.45,32.01
77.24201,T2M_MAX,2009,23.46,27.66,34.1,38.94,42.78,43.85,40,35.96,32.91,32.06,27.46,23.93,33.62
77.24201,T2M_MAX,2010,23.11,26.82,36.44,42.1,44.48,43.72,36.05,32.21,30.2,29.85,25.59,20.7,32.62
77.24201,T2M_MAX,2011,19.89,24.7,31.87,37.28,43.33,40.38,35.41,32.67,31.22,31.56,28.65,23.58,31.74
77.24201,T2M_MAX,2012,20.99,25.21,33.07,37.71,42.77,44.84,38.95,33.6,31.82,31.83,27.69,23.66,32.69
77.24201,T2M_MAX,2013,21.08,23.48,31.75,37.82,43.7,40.07,34.47,31.73,31.87,29.79,25.98,22.8,31.25
77.24201,T2M_MAX,2014,21.08,23.09,29.4,36.63,40.72,44.01,39.13,37.11,35.43,33.6,29.69,22.96,32.78
77.24201,T2M_MAX,2015,21.23,26.82,29.04,35.55,42.86,41.09,35.1,33.98,36,34.31,29.57,24.6,32.53
77.24201,T2M_MAX,2016,24.06,27.75,33.69,40.25,42.64,42.21,35.37,32.59,34.86,34.57,30.15,26.13,33.69
77.24201,T2M_MAX,2017,22.83,27.19,32.75,40.81,42.9,40.49,35.68,35.49,34.56,34.28,27.96,24.37,33.3
77.24201,T2M_MAX,2018,23.64,28.47,34.99,39.41,42.99,41.68,35.91,32.74,31.09,30.88,27.49,22.38,32.65
77.24201,T2M_MAX,2019,21.14,23.4,30.05,39.25,41.88,44.32,38.22,34.1,34.37,32.64,28.36,20.48,32.38
